radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,262,2,323,28421,0,13.175557,52.538166,1932,200,1,1302803597,1662698337,0
GSM,262,1,14118,55781,0,13.165702,52.541645,8290,199,1,1302803718,1662695130,0
GSM,262,1,14118,37502,0,13.194131,52.548429,2215,200,1,1302803718,1662691473,0
GSM,262,2,323,15991,0,13.129666,52.538524,17085,199,1,1302803840,1662697941,0
GSM,262,1,14118,57806,0,13.182934,52.527939,2885,102,1,1302803840,1662688195,0
GSM,262,2,318,29131,0,13.413057,52.540038,851,199,1,1302805021,1662706165,0
GSM,262,2,318,41753,0,13.412396,52.546936,1086,200,1,1302805021,1662706040,0
GSM,262,2,318,41562,0,13.415694,52.541391,2028,200,1,1302805021,1662706165,0
GSM,262,2,323,36373,0,13.197395,52.536948,3360,106,1,1302842205,1662702903,0
GSM,262,1,14118,64024,0,13.178061,52.526233,2460,102,1,1302842205,1662688195,0
GSM,262,2,323,392,0,13.226805,52.555148,2472,123,1,1302845231,1662692047,0
GSM,262,2,323,393,0,13.212293,52.561024,7289,106,1,1302845231,1662691853,0
GSM,262,2,323,391,0,13.215874,52.562603,2840,106,1,1302845231,1662692051,0
GSM,262,2,323,10801,0,13.215345,52.559236,1389,136,1,1302845231,1662691853,0
GSM,262,2,323,59152,0,13.236771,52.56155,4855,199,1,1302845231,1662706215,0
GSM,262,2,323,59153,0,13.211759,52.561531,7749,104,1,1302845231,1662692051,0
GSM,262,2,323,691,0,13.225635,52.538299,2283,121,1,1302845231,1662692169,0
GSM,262,2,323,28402,0,13.204623,52.551838,6242,200,1,1302845231,1662691473,0
GSM,262,2,323,33732,0,13.267173,52.533247,1379,145,1,1302845836,1662733132,0
GSM,262,2,323,33722,0,13.270716,52.531909,8299,200,1,1302845958,1662734364,0
GSM,262,2,321,15151,0,13.279238,52.529748,3241,200,1,1302845958,1662733132,0
GSM,262,2,323,472,0,13.183018,52.512578,3118,111,1,1302846805,1662713146,0
GSM,262,1,14118,37506,0,13.180698,52.533845,5152,200,1,1302846926,1662691473,0
GSM,262,2,321,15142,0,13.299265,52.535693,4117,144,1,1302847531,1662714669,0
GSM,262,2,321,14401,0,13.328923,52.535615,1845,199,1,1302847531,1662713401,0
GSM,262,2,309,12882,0,13.077229,52.523981,8653,199,1,1302848016,1662694924,0
GSM,262,2,309,12883,0,13.074747,52.546416,13288,199,1,1302848016,1662694924,0
GSM,262,1,14118,516,0,13.115735,52.533458,7534,200,1,1302848137,1662695130,0
GSM,262,2,321,15162,0,13.322138,52.530651,2509,104,1,1302885296,1662713186,0
GSM,262,2,317,1272,0,13.495169,52.531504,2566,199,1,1302886144,1662703479,0
GSM,262,2,317,11401,0,13.488921,52.525265,1030,102,1,1302886144,1662703694,0
GSM,262,2,317,11952,0,13.583615,52.548315,3026,199,1,1302887113,1662689707,0
GSM,262,2,323,15521,0,13.204227,52.554027,2684,200,1,1302890987,1662691473,0
GSM,262,2,323,54531,0,13.223849,52.520411,4294,106,1,1302890987,1662712599,0
GSM,262,2,323,511,0,13.243247,52.551657,2828,124,1,1302890987,1662705904,0
GSM,262,2,321,10273,0,13.304581,52.542246,2619,136,1,1302890987,1662714669,0
GSM,262,2,323,15381,0,13.20807,52.517086,4577,104,1,1302890987,1662702156,0
GSM,262,2,823,34273,0,11.535572,48.147045,1979,200,1,1302894255,1662707112,0
GSM,262,2,323,493,0,13.137928,52.550047,5536,200,1,1302939155,1662697948,0
GSM,262,1,14118,49060,0,13.176357,52.537021,4234,102,1,1302942181,1662688195,0
GSM,262,2,308,28481,0,13.360713,52.485815,2261,200,1,1302943271,1662719100,0
GSM,262,2,308,14082,0,13.334618,52.48611,2322,200,1,1302943271,1662707034,0
GSM,262,2,308,54401,0,13.323021,52.493902,2246,108,1,1302943271,1662689581,0
GSM,262,2,323,10802,0,13.227475,52.551657,3722,119,1,1302944360,1662697975,0
GSM,262,2,323,10791,0,13.225133,52.539669,1702,110,1,1302944360,1662703122,0
GSM,262,1,14118,49096,0,13.240294,52.534511,2307,104,1,1302944360,1662690119,0
GSM,262,2,323,513,0,13.240893,52.542668,3449,148,1,1302944360,1662728791,0
GSM,262,2,323,692,0,13.238669,52.527331,2684,200,1,1302944360,1662686065,0
GSM,262,2,323,451,0,13.204958,52.537622,2261,200,1,1302944360,1662702903,0
GSM,262,2,323,10913,0,13.257132,52.537012,3143,171,1,1302944360,1662733132,0
GSM,262,2,323,12,0,13.201667,52.535599,4132,126,1,1302944360,1662703620,0
